,Article Title,Category
0,"Klopp signs new Liverpool contract until 2026



Liverpool manager Jurgen Klopp has signed a new contract that will keep him at Anfield until 2026, the Premier League club announced on Thursday.",Sport
1,"Pochettino '100 percent' sure he and Mbappe will stay at PSG



Paris Saint-Germain coach Mauricio Pochettino said on Thursday he was ""100 percent"" sure both he and star striker Kylian Mbappe would be at the club next season.",Sport
2,"Barcelona to play 2023-24 season away from Camp Nou



Barcelona will play the 2023-24 season away from Camp Nou while Europe's largest soccer stadium undergoes a massive overhaul, the Spanish club said Thursday.",Sport
3,"Madrid can clinch Spanish title ahead of Man City showdown



Carlo Ancelotti has a decision to make when Espanyol comes to town on Saturday.",Sport
4,"Aston Villa to face Leeds in Brisbane pre-season friendly



Aston Villa and Leeds United will clash for a July friendly in Australia, the latest English Premier League clubs to announce a return to pre-season touring after the Covid pandemic.",Sport
5,"Liverpool roll over Villarreal to put one foot in Champions League final



Liverpool are on the brink of a third Champions League final in five seasons after breaking Villarreal's resistance to win the first leg of their semi-final 2-0 at Anfield on Wednesday.",Sport
6,"Inter beaten at Bologna, waste chance to take Serie A lead



For four months, Inter Milan had been pointing to its postponed match at Bologna as a chance to gain ground in the title race.",Sport
7,"Man Utd top-four hopes unrealistic, says Rangnick



Ralf Rangnick said on Wednesday that Manchester United must face up to the reality their top-four hopes have likely disappeared as they prepare to take on Chelsea this week without a swathe of key players.",Sport
8,"City's Fernandinho vows no let-up against Real Madrid



Fernandinho says Manchester City will aim to ""hurt"" Real Madrid in their own backyard after winning the thrilling first leg of their Champions League semi-final 4-3.",Sport
9,"Liverpool face fixture crunch in Premier League title bid



Title-chasing Liverpool will play two Premier League games in the final week of the campaign after their match against Southampton was rescheduled due to their participation in the FA Cup final.",Sport
10,"Real Madrid happy to be alive ahead of 2nd leg vs. Manchester City



Real Madrid was holding on to the positives after coming close to being routed by Manchester City but staying alive in the Champions League semifinals.",Sport
11,"Ukraine soccer league declares season over after invasion



The Ukrainian soccer season has officially been called off because of the Russian invasion, creating a path for Shakhtar Donetsk and Dynamo Kyiv to be entered in next season's Champions League.",Sport
12,"Man City top Real Madrid in breathless Champions League semi-final



Manchester City just couldn't shake off Real Madrid.",Sport
13,"Match facts: Manchester City v Real Madrid (UEFA Champions League)



Ahram Online provided a live score coverage for Tuesday’s match between Manchester City and Real Madrid in the 1st leg of the Champions League semi-finals",Sport
14,"Villarreal 'made for Champions League' warns Liverpool's Klopp



Jurgen Klopp has dismissed the idea that Liverpool have a dream Champions League semi-final draw as they prepare to face Villarreal in the next stage of their quest for an unprecedented quadruple.",Sport
15,"Villarreal can beat Liverpool to continue fairytale run, says Parejo



Villarreal captain Dani Parejo said on Tuesday his team are convinced they can spring another surprise and beat Liverpool in the Champions League semi-finals.",Sport
16,"Araujo signs new Barcelona contract until 2026



Barcelona defender Ronald Araujo has agreed a new contract until 2026 with a buy-out clause set at 1 billion euros, the club announced on Tuesday.",Sport
17,"Chiellini to say 'ciao' to Italy after Finalissima with Argentina



Giorgio Chiellini will bring down the curtain on his international career this summer after Italy face Argentina in the so-called 'Finalissima' at Wembley, the site of his greatest career triumph.",Sport
18,"'Anfield is hell' says Villarreal's midfielder Capoue



“I said ‘Where is Villarreal?’” explains Etienne Capoue, who describes it like he was scanning a map of the world and pointing his finger down.",Sport
19,"Crystal Palace stalemate keep Leeds in relegation danger



Leeds held on for a 0-0 draw at Crystal Palace that did little to ease their fears of being dragged deeper into the Premier League relegation battle on Monday.",Sport
20,"Kean's winner moves Juventus closer to the Champions League



Moise Kean's 89th-minute winner earned Juventus a 2-1 comeback win in a tricky visit to a talented Sassuolo side on Monday - marking a major step in Serie A for the Bianconeri toward securing a Champions League spot.",Sport
21,"English Premier League results & scorers (34th matchday)



Follow Ahram Online's coverage of English Premier League matches of the 2021/2022 season (23/25 April)",Sport
22,"Italy Serie A results & scorers (34th matchday)



Follow Ahram Online's coverage of Italy Serie A matches of the 2021/2022 season (23/25 April)",Sport
23,"Ancelotti fine with Real Madrid not seen as favorite against Man City



Carlo Ancelotti doesn't seem bothered by hearing that Real Madrid isn't the favorite against Manchester City in the Champions League semifinals.",Sport
24,"Man City can write another chapter in European history, says Guardiola



Pep Guardiola admits Manchester City cannot compete with Real Madrid's European pedigree but says they can write a new chapter in the club's history in their Champions League semi-final against the Spanish giants.",Sport
25,"Dominant Bayern Munich looking for worthy Bundesliga rivals



Bayern Munich's indisputable dominance in Germany has renewed questions about the Bundesliga's competitiveness.",Sport
26,"Gabriel Jesus providing goals and versatility for Man City



The match ball clutched by Gabriel Jesus as he left Manchester City's stadium following his first Premier League hat trick was covered in messages from teammates.",Sport
27,"Spanish challenge stands in way of Man City-Liverpool final showdown



Real Madrid and Villarreal stand in the way of Manchester City and Liverpool taking their battle for domestic honours to the biggest stage of all next month in the Champions League final.",Sport
28,"Fighter Modric primed to floor Pep's City in Champions League semis



Luka Modric orchestrated stirring Real Madrid comebacks against Paris Saint-Germain and Chelsea, now the 36-year-old has Manchester City and another Champions League final in his sights.",Sport
29,"Barca wobble continues as Rayo win puts Real Madrid on brink of title



Barcelona suffered a shock 1-0 defeat by Rayo Vallecano on Sunday, handing Real Madrid the chance to win La Liga if they draw at home to Espanyol next weekend.",Sport
30,"AC Milan reclaim Serie A lead from city rival Inter



If AC Milan wins its first Serie A title in 11 years this season - and that's looking more and more like a distinct possibility - its last-gasp comeback victory at Lazio on Sunday might go down as one of the keys to success.",Sport
31,"Three things we learned from the Premier League



Manchester City and Liverpool look set to go down to the wire in the title race after contrasting victories this weekend.",Sport
32,"Napoli title hopes hit with late Empoli defeat



Napoli's Serie A title ambitions took a knock on Sunday as the third-placed southerners threw away a two-goal lead to fall 3-2 at Empoli.",Sport
33,"Tuchel reveals Rudiger will leave Chelsea at end of season



Thomas Tuchel has revealed Germany defender Antonio Rudiger will leave Chelsea when his contract expires at the end of this season.",Sport
34,"Liverpool overcome Everton battle to keep pressure on Man City



Liverpool kept the pressure on Manchester City at the top of the Premier League table and pushed local rivals Everton towards relegation with a 2-0 win in the Merseyside derby on Sunday.",Sport
35,"Germany Bundesliga results & scorers (31st matchday)



Follow Ahram Online's coverage of Germany Bundesliga matches of the 2021/2022 season (22/24 April)",Sport
36,"Bayern boss rules out Lewandowski exit before 2023



Bayern Munich sports director Hasan Salihamidzic on Sunday dismissed the possibility of Robert Lewandowski leaving the freshly-crowned Bundesliga champions this summer, amid rumours of a transfer to Barcelona.",Sport
37,"Rennes thrashes Lorient to take back 3rd in French league



Rennes kept pace in the race for Champions League spots by beating Lorient 5-0 to take back third place in the French league on Sunday.",Sport
38,"PSG's record-tying 10th French title has bittersweet taste



Achieving a milestone title wasn't enough for some Paris Saint-Germain fans.",Sport
39,"PSG star Messi reinventing himself in twilight of his career



At 34, Lionel Messi has reinvented himself.",Sport
40,"Chelsea bidders set to discover their fate



Chelsea fans could have a clear idea of who will be the next owners of the Blues this week, with American bank Raine expected to reveal their preferred bidder from among three offers.",Sport
41,"Messi leads PSG to record-tying 10th French league title



Boos at halftime were replaced by raucous cheering at fulltime when Paris Saint-Germain clinched a record-tying 10th French league title after drawing with Lens 1-1 on Saturday.",Sport
