,Final_text,Category
0,lebanese artist haig aivazians video installation presented 72nd berlin intl film festival video installation star dust shoe lebanese artist presented within forum expanded programme upcoming berlinale,Art
1,cairo palace art gear 32nd youth salon 32nd edition youth salon salon elshabab take place palace art located cairo opera house ground,Art
2,weaam elmasry mohamed shoukry ahmed elshaer represent egypt venice art biennale 2022 ‘ eden like garden ’ weaam ahmed elmasry mohamed shoukry ahmed elshaer represent egypt 59th international art exhibition ‘ la biennale di venezia ’,Art
3,former egyptian culture minister farouk hosny hold solo exhibition bahrain national museum former egyptian culture minister farouk hosny display 45 work created past two year upcoming solo exhibition bahrain national museum,Art
4,orient early 20th century exhibited photograph paris rogerviollet gallery paris exhibiting collection black white panoramic photo belonging léon lévy studio revealing maghreb egypt beginning 20th century,Art
5,exhibition commemorating van léo walk unique world armenianegyptian photographer unique world late cairobased armenianegyptian photographer van léo captured exhibition continues 22 february 2022,Art
6,egyptian artist assem abdelfattahs newest exhibition ponders old cairo samah art gallery displayed last month assem abdelfattahs work ranging oil mixed medium canvas,Art
7,art ’ egypte celebrates huge success fourth annual exhibition forever first kind exhibition “ forever ” took place foot pyramid giza 21 october 17 november,Art
8,abu dhabi festival praise art ’ égyptes forever exhibition forever successfully concluded last week first international exhibition taking place giza plateau foot great pyramid,Art
9,le lab cairo dubai design week experimentation integration exploration main theme behind recently established design gallery cairo le lab,Art
10,renowned egyptian painter gazbia sirry dy 96 world renowned egyptian painter gazbia sirry died late evening wednesday age 96 according announcement made visual art sector ministry culture,Art
11,mohamed eltarawys solo exhibition underway albab gallery continuing 13 november exhibition titled ‘ ’ held albab gallery explores world egyptian woman supporting empowerment filled 40 watercolour mohamed eltarawy ’ work weave expressive pictorial energy canvas,Art
12,bibliotheca alexandrina hold 7th edition draw discover competition bibliotheca alexandrina holding 7th edition ‘ draw discover competition ’ 28 october 25 november,Art
13,forever strongest promotion culture tourism egypt hawass renowned egyptian archaeologist zahi hawass said art degypte exhibition titled forever giza pyramid plateau strongest promotion culture tourism country,Art
14,forever angelina jolie hail contemporary artwork exhibition giza plateau first exhibition kind 4500 year contemporary art exhibition forever launched thursday giza plateau continue 7 november,Art
15,egyptian artist ibrahim eldessouki take part saudi inaugural diriyah contemporary art biennale ibrahim eldessouki egyptian artist present work inaugural diriyah biennale 70 arab international artist take part,Art
16,hana gamals photography exhibition dcaf explores loss love memory every evening 122 october 6pm 10pm nine small room victoria building rooftop visitor invited discover photo exhibition forgotten never hana gamal,Art
17,free entry naguib mahfouz museum commemorating egyptian nobel prizewinning novelist museum opened july 2019 contains work possession famed egyptian nobel prizewinner literature,Art
18,backyard human body identity cairo mashrabia gallery five artist give different perception human body oscillating real imaginary,Art
19,misr international university student reinvent puppeteering art egypt misr international university student reinvent puppeteering art egypt,Art
20,cairo opera hall showcase first exhibition egyptian artist sherif nashed originally ophthalmology surgeon first time dr sherif nashed showcase creative work large audience,Art
21,louvre abu dhabi ’ child ’ museum reopen public week museum reopen public new exhibition take child interactive adventure art,Art
22,interview egyptian photographer salma olama explores family connection touching lineage photographer brings work conversation picture taken late grandfather fathy saleh,Art
23,creative impact lab cairo accepts art project address woman ’ empowerment chosen participant fiveweek online creative exchange organised collaboration zero1 u embassy cairo medrar contemporary art,Art
24,venice biennale ready 17th intl architecture exhibition curated lebanese hashim sarkis 17th biennale architettura revealed several detail event take place 22 may 21 november 2021,Art
25,paris launch first intl modern contemporary art fair dedicated middle east north africa menart fair showcase work middle eastern north african artist take place 27 30 may,Art
26,american university cairo press release architecture ramses wissa wassef book written conchita añorvetschirgi ehsan abushadi photography nour elrefai,Art
27,art alert mashrabia gallery contemporary art hold exhibition late italian artist marco magrini exhibition titled happy island magrinis last body work created shortly recent passing,Art
28,egyptian artist samar kamel participate dubai world art fair fair seventh edition take place 7 10 april,Art
29,artwork world largest canvas painting sell 62 mln dubai,Art
30,photopia open cairo photo week ’ second edition downtown presence ambassador 140 photography participant around world cairo photo week ’ second edition opened theme “ depth field ”,Art
31,sotheby ’ london auction two sculpture egyptian modern art pioneer mahmoud mokhtar ibn albalad arous alnil offered sothebys online auction end march,Art
32,art alert egypt renowned artist ahmed askalany hold solo exhibition cairo demi art gallery askalanys new exhibition titled showcase selection sculpture,Art
33,winston churchill moroccan landscape painting owned angelina jolie sell 115m,Art
34,whirling dervish egyptian artist abdelhamid tahoun among winner sony world photography award tahoun ’ mevlevi dancer listed among 51 winner national award segment set world photography organisation sony,Art
35,interview greek miniature artist andreas rousounelis inspiration importance art rousounelis describes art style hyperrealism inspiration come greek architecture mostly cyclades architecture,Art
36,banksys balloon girl kate moss photo among top attraction london art sale,Art
37,art dubai 2021 extended date moved venue changed due covidrelated restriction 14th edition art dubai kick 29 march span six day instead four,Art
38,egypt international art fair announces detail second edition previously scheduled take place middle month international art fair kick 26 february,Art
39,art alert exhibition garden spanish artist xavier puigmartí open cairo mashrabia gallery exhibition showcase 36 painting artist created isolation due covid19 pandemic home heart fayoum oasis,Art
40,egyptian artist huda lutfis work featuring um kalthoum display british museum lutfis alsitt sunglass part newly opened exhibition celebrating british museum decade collecting contemporary art middle east north africa,Art
41,depth field cairo photo week expands second edition second edition cairo photo week take place across four historic location downtown cairo,Art
42,art alert nile art gallery launch solo exhibition egyptian painter tayseer hamed upcoming exhibition titled rehla journey,Art
43,call application egypt mahy khalifa art fund operating collaboration art ’ egypte fund offering full funding postgraduate art scholarship,Art
44,nigerian artist creates rotting exhibit coronavirus warning,Art
45,american university cairo press release history arab graphic design 360page book trace people event integral shaping field graphic design arab world,Art
46,art alert ghostly impression samy elia cairo gypsum gallery exhibition display blurred manipulated image abstraction origin,Art
47,art alert egyptian artist ahmed osmans solo exhibition connection tam gallery new exhibition contemporary artist ahmed osman emphasis human connection,Art
48,angelina jolie auction churchill ’ morocco landscape christie ’ london tower koutoubia mosque painted sir winston churchill 1943 visit marrakesh,Art
49,2020 moment year lived differently nat geo abu dhabi photo competition shortlist announced final winner announced later year,Art
50,european union delegation egypt photography competition journey egypt ’ past future eu delegation offering award first three winner well holding exhibition featuring top 30 photo,Art
51,egypt culture ministry release short documentary artist reda abdelsalam since last spring pandemic lockdown hundred video various culture activity published multiple channel culture ministry youtube channel,Art
52,muhanna durra pioneer jordanian artistic movement dy 83 durra first artist introduce expressionism cubism abstract art jordanian visual art scene,Art
53,egypt gypsum gallery launch online viewing room nelly elsharkawy ’ le carnaval gypsum online viewing room showcase sharkawys series digital collage image composed element taken artist ’ large archive photograph documenting cairo ’ architecture,Art
54,scheherazades samir fouad cairo picasso gallery fouads oil painting draw inspiration tale one thousand one night,Art
55,26th aswan intl sculpture symposium postponed curb spread covid19 two decade sculptor different nationality background gather river nile aswan unique annual event,Art
56,cairo tam gallery egyptian contemporary art launch new website concept tamgallery go back 2012 launched name artsmart gallery developed virtual physical space,Art
57,paris louvre museum visitor fell three quarter 2020 due covid crisis,Art
58,art alert renowned egyptian artist george bahgoury hold solo exhibition bahgourys work display mashrabia gallery contemporary art,Art
59,egypt international art fair bring together artist mideast n africa fair held cairo 12 14 february,Art
60,uncovering gem recentlyopened museum modern egyptian art following six year closure one cairo important museum opened door pubic last month,Art
61,egyptian veteran painter professor sabry abdelghany dy 98 abdelghany 19232021 longtime art professor received medal excellence first class 1985 appreciated academic artistic career,Art
62,firstever ramallah art fair open showcasing 26 palestinian artist fair first edition opened 14 december 2020 continues 4 march 2021,Art
63,egyptian artist yasser gaessa launch eskendria zaman art exhibition 50yearold artist brings favorite alexandrian street memory life 65 painting different size,Art
64,favorite thing 5 exhibition artwork egyptian woman torn heart reason fifth edition exhibition brings together painting drawing collage installation,Art
65,art alert phase exhibition egyptian artist fathi afifi open access art space access art space new gallery replacing former townhouse art gallery cairo downtown,Art
66,story humanity louvre abu dhabi announces premiere first short film pulse time film available view free louvre abu dhabi ’ youtube channel,Art
67,arab region art competition life time emergency accepts entry part 16 day activism genderbased violence campaign competition accepts entry young artist 27 november,Art
68,art alert easel camera gallery showcase work 25 renowned egyptian artist besides egyptian artist openair exhibition also showcase two distinguished middle eastern sculptor lebanon iraq,Art
69,egyptian artist craft picture salt,Art
70,’ fight recover cultural wealth congolese man seizes african art french museum,Art
71,cairo exhibition showcase egyptian collection modern art treasure including piece monet matisse gauguin among many work currently display cairo aisha fahmy palace masterpiece delacroix gauguin matisse rodin monet manet pissarro degas,Art
72,’ important show ingenuity nigerian collector promotes local artistic heritage amidst black life matter,Art
73,200 year european art nile visit cairo aisha fahmy palace creating strong relationship painting sculpture architecture 5th exhibition treasure museum series provides unique experience aisha fahmy palace visitor,Art
74,untamed body egyptian artist weaam elmasry look conflicting relationship men woman elmasrys solo exhibition gallery misr depicts obese anonymous character sex,Art
75,art alert maq ‘ ad sultan qaitbey host art time corona event open daughter nile sculpture exhibit,Art
76,street sculpture egypt art crisis heated debate public art visual culture provoked photo new work sculptor ahmed abdelkarim widely criticised social medium,Art
77,part gone two decade stained glass artist work destroyed beirut blast,Art
78,spiritual physical journey life online exhibition egyptian artist ibrahim elhaddad serendipity organised artsy mashrabia gallery contemporary art,Art
79,visual diary rania khallaf celebrates visual body language sarah el samman ’ painting speak,Art
80,solidarity nile moment unprecedented tension nihal wahby recall egyptian painting pioneer expressed spirit beauty binding egypt ethiopia,Art
81,deadline extended egyptbased woman artist apply favourite thing online exhibition exhibition organised cairo mashrabia gallery contemporary art,Art
82,mona lisa back work visitor limited louvre reopens paris tour guide katia besnard rousseau said group show around since france gradually started coming strict twomonth lockdown may,Art
83,egypt reopen state gallery museum venue scheduled reopening operate culture ministry,Art
84,art alert cairo mashrabia gallery launch solo exhibition egyptian artist ibrahim elhaddad titled serendipity new solo exhibition open 1 july,Art
85,reopened paris musee ’ orsay hope state support louvre gallery reopen soon without mona lisa lockdown cost louvre 40 million euro lost ticket office revenue musee ’ orsays loss prompt hope special support state,Art
86,france arrest six stolen banksy artwork source,Art
87,aga khan museum canada reopens 3month closure museum reopens gallery saturday 27 june,Art
88,louvre abu dhabi reopens 100day closure,Art
89,syrian artist oroubah dieb launch new exhibition france world refugee day painter sculptor dieb put exhibition galerie terrain vagh paris opening world refugee day,Art
