,Article Title,Category
0,"Lebanese artist Haig Aivazian's video installation to be presented during 72nd Berlin Int'l Film Festival



The video installation All of Your Stars are But Dust on My Shoes by the Lebanese artist will be presented within the Forum Expanded programme of the upcoming Berlinale.",Art
1,"Cairo's Palace of Arts gears up for 32nd Youth Salon



 The 32nd edition of Youth Salon (Salon El-Shabab) will take place at the Palace of Arts located on the Cairo Opera House grounds.",Art
2,"Weaam El-Masry, Mohamed Shoukry, Ahmed El-Shaer to represent Egypt at Venice Art Biennale 2022



‘Eden Like Garden’ by Weaam Ahmed El-Masry, Mohamed Shoukry, and Ahmed El-Shaer will represent Egypt during the 59th International Art Exhibition ‘La Biennale di Venezia’",Art
3,"Former Egyptian culture minister Farouk Hosny to hold solo exhibition at Bahrain National Museum



Former Egyptian culture minister Farouk Hosny will display 45 of his works created over the past two years during the upcoming solo exhibition at Bahrain National Museum.",Art
4,"The Orient of the early 20th century exhibited as photographs in Paris



The Roger-Viollet gallery in Paris is exhibiting a collection of black and white panoramic photos belonging to the Léon and Lévy studios, revealing the Maghreb and Egypt at the beginning of the 20th century.",Art
5,"Exhibition commemorating Van Léo: A walk through the unique world of Armenian-Egyptian photographer



The unique world of the late Cairo-based Armenian-Egyptian photographer Van Léo is captured in an exhibition which continues until 22 February 2022.",Art
6,"Egyptian artist Assem Abdel-Fattah's newest exhibition ponders old Cairo



The Samah Art Gallery displayed last month Assem Abdel-Fattah's works, ranging from oils to mixed media on canvas.",Art
7,"Art D’Egypte celebrates huge success of its fourth annual exhibition 'Forever is Now'



The first of its kind exhibition “Forever is Now” took place at the foot of the pyramids in Giza between 21 October and 17 November",Art
8,"Abu Dhabi Festival praises Art D’Égypte's Forever Is Now exhibition



Forever Is Now was successfully concluded last week as the first international exhibition taking place on the Giza Plateau at the foot of the Great Pyramids.",Art
9,"Le Lab: From Cairo to Dubai Design Week



Experimentation, integration, and exploration are the main themes behind the recently established design gallery in Cairo, Le Lab.",Art
10,"Renowned Egyptian painter Gazbia Sirry dies at 96



World renowned Egyptian painter Gazbia Sirry died in the late evening of Wednesday at the age of 96, according to an announcement made by the Visual Arts Sector of the Ministry of Culture.",Art
11,"Mohamed El-Tarawy's 'Be Yourself' solo exhibition underway at Al-Bab Gallery



Continuing until 13 November, an exhibition titled ‘Be Yourself’ that is being held at Al-Bab Gallery explores the world of Egyptian women while supporting their empowerment. Filled with over 40 watercolours, Mohamed El-Tarawy’s works weave an expressive and pictorial energy into a canvas.",Art
12,"Bibliotheca Alexandrina to hold 7th edition of Draw and Discover Competition



The Bibliotheca Alexandrina will be holding the 7th edition of its ‘Draw and Discover Competition’ from 28 October to 25 November.",Art
13,"'Forever Is Now' strongest promotion for culture, tourism in Egypt: Hawass



Renowned Egyptian archaeologist Zahi Hawass said the Art D'Egypte exhibition titled 'Forever is Now' at the Giza Pyramids plateau is the strongest promotion for culture and tourism in the country.",Art
14,"Forever Is Now: Angelina Jolie hails contemporary artwork exhibition at Giza Plateau



First exhibition of its kind in 4,500 years, the contemporary art exhibition 'Forever Is Now' was launched on Thursday at Giza Plateau and will continue until 7 November",Art
15,"Egyptian artist Ibrahim El-Dessouki to take part in Saudi's inaugural Diriyah Contemporary Art Biennale



Ibrahim El-Dessouki is the only Egyptian artist to present his work at the inaugural Diriyah Biennale, in which over 70 Arab and international artists take part.",Art
