,Article Title,Category
0,"Egypt’s financial inclusion grows by 115% over 6 years: CBE



The financial inclusion rate in Egypt grew by 115 percent over the past six years, the Central Bank of Egypt (CBE) announced on Tuesday.",Economy
1,"Egypt to restore wheat supply to local bakeries after reduction in Ramadan



The Ministry of Supply and Internal Trade announced on Monday that it would reverse its decision to cut by 10 percent its supply of local wheat to municipal bakeries starting 1 May.",Economy
2,"Egypt's 2022/23 draft budget allocates EGP 356 billion to subsidies, grants and social programmes



Egypt's House of Representatives – the lower chamber of parliament – voted in a plenary session on 17 April to send the draft 2022/23 budget to the Financial Affairs Committee to discuss it in hearing sessions.",Economy
3,"S&P affirms Egypt’s long, short term credit rating at B with stable outlook



Standard and Poor’s (S&P) has affirmed Egypt’s long and short-term foreign and local currency sovereign credit ratings at B/B, S&P announced on Saturday.",Economy
4,"ME scores highest confidence and orders levels in Global Economic Conditions in Q1 of 2022: Report



The Middle East region is the highest scoring region in terms of confidence and orders in the first quarter (Q1) of 2022, according to the latest edition of the Global Economic Conditions Survey (GECS) published on Thursday.",Economy
5,"Fitch Ratings affirms Egypt's IDR at B+ with stable outlook



 Fitch Ratings has affirmed Egypt's long-term foreign-currency issuer default rating (IDR) at B+ with a stable outlook, the credit rating agency announced on Thursday.",Economy
6,"Egypt, Germany ink €26 mln finance deal to rehabilitate Aswan power plants 



Egypt’s Minister of International Cooperation Rania Al-Mashat and director of the German KfW Development Bank in Egypt Bernd Siegfried signed on Wednesday a financing agreement worth €26 million for phase 2 of a project to rehabilitate hydroelectric power plants in Aswan.",Economy
7,"Growth and development critical for Egypt to deal with rising debt: IMF's Mohieldin



Developing countries, including Egypt, should prioritise development and growth in collaboration with the private sector to deal with elevating debt levels amid the ongoing economic challenges, said Mahmoud Mohieldin, an executive director at the International Monetary Fund (IMF).",Economy
8,"Egypt to announce strategy for enhancing private sector's role in economy: PM Madbouly



Egypt will announce a national strategy for expanding partnership with the private sector dubbed the ‘State Ownership Policy Document’ next month, Prime Minister Mostafa Madbouly said during a cabinet meeting on Wednesday.",Economy
9,"Global rise in food, energy prices affect Egypt amid Ukraine-Russia conflict: IMF



The global rise in food prices is a major challenge for Egypt amid supply chain disruptions and the Russian war in Ukraine, Deputy Director of the Fiscal Affairs Department at the International Monetary Fund (IMF) Paolo Mauro told Ahram Online during a press briefing.",Economy
10,"Anticipated IMF loan to bolster Egypt's social safety net amid Ukraine war: IMF managing director



 The anticipated loan programme for Egypt from the International Monetary Fund (IMF) aims to support the country’s social protection system amid rising food and energy prices on the back of the Russian war in Ukraine, said IMF managing director Kristalina Georgieva.",Economy
11,"Egypt’s gross debt to inch up by 0.5% in 2022 amid Ukrainian war: IMF



Egypt’s general government gross debt to GDP ratio is expected to jump to 94 percent in 2022, up from 93.5 percent in 2021, before winding down to 89.6 percent in 2023 and then declining to 80.7 percent by 2027, the International Monetary Fund (IMF) said on Wednesday.",Economy
12,"Ukraine war puts Egypt under pressure of inflation, limited fiscal space: IMF



The Russia-Ukraine conflict is having economic repercussions on Egypt including rising financial needs, an elevated rate of inflation, and limited fiscal space, the assistant director of monetary and capital markets at the International Monetary Fund (IMF) Ranjit Singh told Ahram Online.",Economy
13,"Emerging markets expected to lose 30% of capital inflows amid the Ukrainian war: IMF



Emerging markets are expected to lose 30 percent of capital inflows, up from 20 percent projected in October, driven by the Russian war in Ukraine, the IMF said on Tuesday.",Economy
14,"IMF raises projections for Egypt’s real GDP growth by 0.3 percent in 2022



 The International Monetary Fund (IMF) has revised its projections for Egypt's real GDP growth in 2022 by 0.3 percent to reach 5.9 percent, up from 5.6 percent expected in January, before slowing down to 5 percent in 2023, the Fund announced on Tuesday.",Economy
15,"IMF, WB annual meetings kick off with focus on impact of Russian war on global economy 



The annual meetings of the International Monetary Fund (IMF) and the World Bank Group (WBG) kicked off in Washington DC on Monday, with the key theme expected to focus on the repercussions of the Russia-Ukraine conflict and COVID-19 on the global economy.",Economy
16,"INTERVIEW: 'The World Bank is ready to provide all aspects of support to Egypt for COP27'



Marie Pangestu, World Bank managing director for development policy and partnerships, spoke to Al-Ahram on the major crises all countries face at present from a sharp slowdown in the global economy and high inflation expected to continue in 2023.",Economy
17,"Egypt to import wheat from India to counter disruption in supply: Ministry of Agriculture 



Egyptian Minister of Agriculture El-Sayed El-Quseir announced on Thursday that India is the latest in the list of countries that will serve as alternate sources of wheat for Egypt following the disruption in the country's wheat supply due to the Russia-Ukraine conflict.",Economy
18,"World Bank maintains Egypt’s real GDP growth at 5.5% in 2021/2022 despite Ukraine war 



The World Bank (WB) has maintained Egypt’s real GDP growth at 5.5 percent in fiscal year (FY) 2021/2022, downgrading its forecast for FY 2022/2023 to five percent, down from 5.5 percent expected in January.",Economy
19,"IMF to revise down economic growth of 143 countries amid Ukraine conflict



The International Monetary Fund (IMF) will revise down the real GDP growth of 143 economies – accounting for 86 percent of global GDP – following the Russian invasion of Ukraine, IMF Managing Director Kristalina Georgieva said on Thursday.",Economy
20,"IMF to create new trust to help middle, low income countries address macroeconomic risks



The executive board of International Monetary Fund (IMF) has approved establishing a new Resilience and Sustainability Trust (RST), which aims to help low-income and vulnerable middle-income countries address longer-term structural challenges that pose macroeconomic risks, including climate change and pandemics, the fund announced on Wednesday.",Economy
21,"Egypt purchases 350,000 tons of wheat from European countries



The General Authority for Supply Commodities (GASC) said on Wednesday that it has signed contracts to import 350,000 tons of wheat from European countries.",Economy
22,"Recent acquisitions reflect confidence in Egypt’s economy: ADQ



The recent transactions of ADQ, an Abu Dhabi-based investment and holding company, reflect its continued confidence in Egypt’s strong economic potential, the company said on Wednesday.",Economy
23,"Sukuk issuance inches up by 11.6% in 1Q of 2022: Fitch Ratings



Sukuk issuance globally grew by 11.6 percent in value in the first quarter (1Q) of 2022 to post $64.5 billion, driven by sovereigns and multilateral institutions despite the ongoing challenges, Fitch Ratings said in a report on Tuesday.",Economy
24,"Egypt’s annual headline inflation continues to rise amid Russian-Ukrainian conflict



Egypt’s headline annual inflation rate registered 12.1 percent in March of this year compared to 4.8 percent in March of last year, as it rose by 2.1 percent from February to March, the Central Agency for Public Mobilisation and Statistics (CAPMAS) announced on Sunday.",Economy
25,"Egypt, Kuwait ink grant deal to study feasibility of establishing railway linking Egypt and Sudan



Egyptian Minister of International Cooperation Rania Al-Mashat and Director General of the Kuwait Fund for Arab Economic Development (KFAED) Marwan Abdullah El-Ghanem signed on Friday a grant deal agreement to study the feasibility of building a railway between Egypt and Sudan.",Economy
26,"Egypt has managed to contain fallout of current international economic crisis: Finance minister



""We managed to overcome the fallout of the current international economic crisis,"" Minister of Finance Mohamed Maait said on Thursday, adding that the Egyptian economy has been strong and flexible enough to deal with consecutive international challenges since the outbreak of the coronavirus pandemic.",Economy
27,"Egypt's printing, packaging exports rise by 65% in 2 months



Egypt’s export of printing, packaging, paper, literary and artistic works rose by 65 percent from January to February, hitting $198 million, compared to $120 million in the same period of 2021.",Economy
28,"Egypt's NIRs drop to $37 bln in March, the lowest since May 2020: CBE



Egypt’s net international reserves (NIRs) fell to about $37 billion by end of March, down from $40.9 billion in February, the Central Bank of Egypt (CBE) announced on Thursday.",Economy
29,"Egypt to launch new phase of digital tax collection system by 1 July: Finance ministry



Egypt is set to launch a new phase of its automated and electronic system for tax collection as of 1 July, which will contribute to including informal business activities into the formal sector, Minister of Finance Mohamed Maait said on Thursday.",Economy
30,"Egypt issues its first samurai bonds: Cabinet



Egypt has issued its first Japanese yen-denominated bonds, aka ""samurai bonds"", worth $500 million, the Cabinet's Information and Decision Support Center (IDSC) said on Wednesday.",Economy
31,"Cabinet approves amendment to grant agreement between Egypt, US



The Cabinet approved during its weekly meeting on Wednesday a draft presidential decree on the fourth amendment to a grant agreement between Egypt and the US on improving health outcomes for targeted groups.",Economy
32,"Egypt’s CBE includes medical professions in its 5% interest rate loans initiative



The Central Bank of Egypt (CBE) included doctors, physiotherapists, and dentists who are authorised by the Medical Syndicates Union to the list of beneficiaries for its initiative for financing small enterprises and establishments, the bank announced on Tuesday.",Economy
33,"Japan's Yazaki to establish factory in Egypt with initial investments of €20 million



Japan's giant automotive components producer Yazaki Europe Limited is set to establish a factory in Egypt's Fayum governorate, southwest of the capital Cairo, to produce braided wires for cars, with initial investments of up to 20 million euros.",Economy
34,"Global output loss from COVID-19 to hit $13.8 tln by 2024: IMF



The International Monetary Fund (IMF) estimated that the cumulative output loss caused by the pandemic globally to reach $13.8 trillion by 2024.",Economy
